"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"BADEA","Pancreas cancer  gene expression data  used in, Badea et al, Hepatogastroenterology 2008","MetaGxPancreas/BADEA.rda","3.8","Affymetrix Human Genome U133 Plus 2.0 Array","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse15471","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","BADEA.rda"
"BALAGURANATH","Pancreas cancer  gene expression data  used in Balagurunathan et al, Mol Cancer Ther 2008","MetaGxPancreas/BALAGURANATH.rda","3.8","Human 1A Microarray G4110A-G4110B","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11838","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","BALAGURANATH.rda"
"CHEN","Pancreas cancer  gene expression data  used in, Chen et al, PLoS One 2015","MetaGxPancreas/CHEN.rda","3.8","Affymetrix,Rosetta-Merck RSTA Custom 2.0","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57495","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","CHEN.rda"
"COLLISON","Pancreas cancer  gene expression data  used in, Collisson et al.,Nat Med 2011","MetaGxPancreas/COLLISON.rda","3.8","Affymetrix, array U133 Plus 2.0","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17891","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","COLLISON.rda"
"GRUTZMANN","Pancreas cancer  gene expression data  used in, Grutzmann et al, Neoplasia, 2004","MetaGxPancreas/GRUTZMANN.rda","3.8","Affymetrix GeneChip Human Genome HG-U133B","RData","https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-950/?query=pilarsky&s_page=1&s_pagesize=50","April 08 2018","Homo sapien",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","GRUTZMANN.rda"
"ICGCSEQ","Pancreas cancer  gene expression data  used in, Nones et al, Int. J. Cancer, 2014","MetaGxPancreas/ICGCSEQ.rda","3.8","Illumina HumanHT-12 V4.0 expression beadchip","RData","http://icgc.org/icgc/cgp/68/304/798","April 08 2018","Homo sapien",9606,FALSE,"ICGC","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","ICGCSEQ.rda"
"ICGCMICRO","Pancreas cancer  gene expression data  used in, Bailey et al, Nature, 2016","MetaGxPancreas/ICGCMICRO.rda","3.8","Illumina HiSeq 2000-2500","RData","http://icgc.org/icgc/cgp/68/304/798","April 08 2018","Homo sapien",9606,FALSE,"ICGC","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","ICGCMICRO.rda"
"KIRBY","Pancreas cancer  gene expression data  used in, Kirby et al., Mol Oncol 2016","MetaGxPancreas/KIRBY.rda","3.8","Illumina, RNA seqencing HiSeq","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79670","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","KIRBY.rda"
"OUH","Pancreas cancer  gene expression data  used in, Sandhu et al, Mol Onc, 2015","MetaGxPancreas/OUH.rda","3.8","Agilent-028004 SurePrint G3 Human GE 8x60K Microarray","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60980","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","OUH.rda"
"PCSI","Pancreas cancer  gene expression data  used in, Notta et al, Nature 2016 ","MetaGxPancreas/PCSI.rda","3.8","Illumina HiSeq 2000-2500","RData","Private","April 08 2018","Homo sapien",9606,FALSE,"Private","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","PCSI.rda"
"PEI","Pancreas cancer  gene expression data  used in, Pei et al, Cancer Cell 2009","MetaGxPancreas/PEI.rda","3.8","Affymetrix Human Genome U133 Plus 2.0 Array","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse16515","April 08 2018","Homo sapien",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","PEI.rda"
"TCGA","Pancreas cancer  gene expression data  used in, TCGA Research Network, Cancer Cell 2017","MetaGxPancreas/TCGA.rda","3.8","IlluminaHiSeq_RNASeqV2","RData","https://portal.gdc.cancer.gov/projects/TCGA-PAAD","April 08 2018","Homo sapien",9606,FALSE,"GDC","Michael Zon <michaelzon7@gmail.com>","ExpressionSet","Rda","breast cancer expression","TCGA.rda"
