"Title","Description","RDataPath","BiocVersion","Genome","SourceType","SourceUrl","SourceVersion","Species","TaxonomyId","Coordinate_1_based","DataProvider","Maintainer","RDataClass","DispatchClass","Tags","ResourceName"
"BADEA_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Badea et al, Hepatogastroenterology 2008","MetaGxPancreas/summarizedExperiments/v1/BADEA.rda","3.8","Affymetrix Human Genome U133 Plus 2.0 Array","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=gse15471","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","BADEA.rda"
"BALAGURANATH_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in Balagurunathan et al, Mol Cancer Ther 2008","MetaGxPancreas/summarizedExperiments/v1/BALAGURANATH.rda","3.8","Human 1A Microarray G4110A-G4110B","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11838","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","BALAGURANATH.rda"
"CHEN_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Chen et al, PLoS One 2015","MetaGxPancreas/summarizedExperiments/v1/CHEN.rda","3.8","Affymetrix,Rosetta-Merck RSTA Custom 2.0","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57495","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","CHEN.rda"
"COLLISON_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Collisson et al.,Nat Med 2011","MetaGxPancreas/summarizedExperiments/v1/COLLISON.rda","3.8","Affymetrix, array U133 Plus 2.0","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE17891","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","COLLISON.rda"
"GRUTZMANN_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Grutzmann et al, Neoplasia, 2004","MetaGxPancreas/summarizedExperiments/v1/GRUTZMANN.rda","3.8","Affymetrix GeneChip Human Genome HG-U133B","RData","https://www.ebi.ac.uk/arrayexpress/experiments/E-MEXP-950/?query=pilarsky&s_page=1&s_pagesize=50","July 09 2018","Homo sapiens",9606,FALSE,"Array Express","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","GRUTZMANN.rda"
"ICGCSEQ_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Nones et al, Int. J. Cancer, 2014","MetaGxPancreas/summarizedExperiments/v1/ICGCSEQ.rda","3.8","Illumina HumanHT-12 V4.0 expression beadchip","RData","http://icgc.org/icgc/cgp/68/304/798","July 09 2018","Homo sapiens",9606,FALSE,"ICGC","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","ICGCSEQ.rda"
"ICGCMICRO_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Bailey et al, Nature, 2016","MetaGxPancreas/ICGCMICRO.rda","3.8","Illumina HiSeq 2000-2500","RData","http://icgc.org/icgc/cgp/68/304/798","July 09 2018","Homo sapiens",9606,FALSE,"ICGC","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","ICGCMICRO.rda"
"KIRBY_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Kirby et al., Mol Oncol 2016","MetaGxPancreas/KIRBY.rda","3.8","Illumina, RNA seqencing HiSeq","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79670","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","KIRBY.rda"
"OUH_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Sandhu et al, Mol Onc, 2015","MetaGxPancreas/OUH.rda","3.8","Agilent-028004 SurePrint G3 Human GE 8x60K Microarray","RData","https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE60980","July 09 2018","Homo sapiens",9606,FALSE,"GEO","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","OUH.rda"
"PCSI_SumExp","Pancreas cancer  gene expression data formatted as a SummarizedExperiment object and  used in, Notta et al, Nature 2016 ","MetaGxPancreas/summarizedExperiments/v1/PCSI.rda","3.8","Illumina HiSeq 2000-2500","RData","https://www.ncbi.nlm.nih.gov/pubmed/27732578","July 09 2018","Homo sapiens",9606,FALSE,"Private","Michael Zon <michaelzon7@gmail.com>","SummarizedExperiment","Rda","pancreatic cancer expression","PCSI.rda"
